asset,first_impulse,exact_duplicate_group
20260730_232720084.png,eiti apšviestu keliu,
20260730_232752414.png,prisėsti / susitikti,
20260730_232829234.png,judėti pirmyn / būti perneštam,
20260730_233054250.png,ieškoti žinių / prieiga prie informacijos,
20260730_233059566.png,eiti pirmyn taku,
20260730_233257668.png,įeiti / pereiti į kitą erdvę,
20260730_233302718.png,užbaigti valgymą / sutvarkyti,
20260730_233308077.png,atidengti / įsileisti šviesą,
20260730_233426208.png,ilsėtis / jaustis saugiai,
20260730_233524155.png,grįžti namo / nusiauti,
20260730_233621454.png,susikaupti ir rašyti,
20260730_233626457.png,dirbti / naudoti darbo vietą,
20260730_233635118.png,naudoti įrankius / meistriškumas,
20260730_233716710.png,atsisėsti / dirbti patogiai,
20260730_233819449.png,aiškinti / planuoti,
20260730_233826961.png,keliauti / išvykti,
20260730_233938996.png,važiuoti pirmyn,
20260730_234152627.png,keliauti traukiniu,
20260730_234205886.png,rinktis / tikrinti akinius,
20260730_234235873.png,siųsti / perduoti žinutę,
20260730_234603251.png,tvarkyti / peržiūrėti dokumentus,
20260730_234637028.png,palikti / perskaityti pranešimą,
20260730_234821352.png,sekti laiką,
20260730_234851456.png,dviejų žmonių artumas / buvimas kartu,
20260730_234944816.png,atidaryti / išpakuoti,
20260731_042116095.png,atidaryti duris / įeiti,
20260731_042303087.png,atrakinti / gauti prieigą,
20260731_042405404.png,uždaryta kliūtis / kas už durų,
20260731_042503424.png,pereiti / įeiti,
20260731_042545269.png,kilti / leistis,
20260731_042639212.png,išvykti / keliauti,
20260731_042702426.png,įeiti pro vartus,
20260731_042747442.png,pataisyti / atkurti,
20260731_042823339.png,uždengti / paslėpti nuo vaizdo,
20260731_042940286.png,užrakinti / riboti prieigą,
20260731_043300801.png,dalintis šiluma / būti kartu,
20260731_043950064.png,kirpti / pakeisti medžiagą,
20260731_044221625.png,strateguoti / numatyti ėjimą,
20260731_044524425.png,skaityti / pradėti nuo tuščio puslapio,
20260731_045008384.png,gydytis / vartoti vaistus,
20260731_045902087.png,pasiruošti / apsirengti,
20260731_050136952.png,gauti / atidaryti dovaną,
20260731_050331331.png,įjungti / valdyti,
20260731_051026107.png,rinktis kryptį neaiškume,
20260731_242549545.png,patikrinti telefoną,
20260731_242650004.png,sekti laiką / terminą,
20260731_242701829.png,atsisiųsti / laukti progreso,
20260731_242911216.png,atjungti / nutraukti ryšį,
20260731_242927854.png,patikrinti telefoną,
20260731_245002797.png,patvirtinti / įsipareigoti,
20260731_245156576.png,dirbti kompiuteriu,
20260731_245233521.png,užverti / baigti darbą,
20260731_245238963.png,gauti / siųsti žinutę,
20260805_194905361.png,eiti pirmyn keliu,
20260805_210837937.png,stabilumas / ramybė,
20260805_222040811.png,sudėlioti / išspręsti,
20260805_222858501.png,palyginti formas,
20260805_224655443.png,būti kartu / panašumas,
20260807_064527258.png,rašyti / pradėti darbą,
20260807_064537671.png,rašyti / pradėti darbą,
20260807_073153688.png,atsigerti / atsigaivinti,
20260808_231944060.png,atidengti / pamatyti sluoksnius,
20260808_233759579.png,įstatyti / pritaikyti detalę,
20260809_235537631.png,atstumas / atsiskyrimas,
20260809_235719908.png,judėti kartu / artėti,
20260809_235839567.png,pažiūrėti už kliūties / atrasti,
20260810_241428644.png,susitikti / būti akis į akį,
20260811_180437463.png,pažiūrėti už kliūties,
20260811_180451129.png,pamatyti aiškiau / daugiau,
20260811_235131415.png,sujungti du objektus,
20260811_235644219.png,sujungti dvi puses,
20260812_122413384.png,išrikiuoti / sulygiuoti,
20260812_124642758.png,sugrupuoti / sutelkti,
20260812_130124523.png,atskirti į grupes,
20260812_144202119.png,sujungti grandine / tęstinumas,
20260812_144404583.png,derinti skirtingas dalis,
20260812_170547009.png,pasigaminti / paruošti maistą,
20260812_171416270.png,sujungti dvi dalis,
20260812_172104324.png,sujungti priešingas puses,
20260812_184537419.png,sudėlioti į vietas,
20260812_185033757.png,įstatyti / surūšiuoti elementus,
20260812_242750521.png,ribojimas / kliūtis,
20260829_211906447.png,sukelti didelį pokytį / sprogimą,
20260829_232210983.png,paleisti grandininę reakciją,
20260829_233727670.png,saugiai laikyti / apsaugoti,
20260829_235204397.png,veikti kartu / perduoti objektą,
20260829_235549505.png,bendrauti grupėje,
20260830_240002754.png,atidaryti ir pažiūrėti / rinktis,
20260830_240249760.png,matyti ir tvarkingai laikyti,
20260830_242130253.png,užpildyti talpą / pasiekti ribą,
20260830_242340401.png,subalansuoti / sukrauti,
20260830_242641908.png,užbaigti trūkstamą dalį,
20260830_242858260.png,laukti / stebėti laiką,
20260830_244849790.png,užpildyti / talpinti,
20260830_245725601.png,"važiuoti / tęsti, nes galima",
S01.webp,eiti pirmyn į nežinomą kelią,
S02.webp,paleisti grandininę reakciją,
S03.webp,užmegzti ryšį su kitu žmogumi,
S04.webp,nukreipti / valdyti srautą,
S05.webp,rinktis tinkamą įrankį,
S06.webp,užbaigti / pažymėti atlikta,
S07.webp,pasinaudoti paruoštu maistu,
S08.webp,apsisaugoti nuo lietaus,
S09.webp,"atidaryti ir atrasti, kas viduje",
S10.webp,tvarkingai ir matomai laikyti,
S11.webp,dirbti / reguliuoti darbo vietą,
S12.webp,tiksliai išmatuoti / patikrinti,
S13.webp,saugiai laikyti vertingą daiktą,
S14.webp,bendrauti / veikti socialiniame rate,
S15.webp,įeiti į augimo / derliaus erdvę,
S16.webp,meistriškai formuoti,
Screenshot_2026-07-30-20-37-26-674_com.android.chrome.jpg,naudoti / tikrinti telefoną,
file_00000000009c81f48d5bd29ec2cb8d88.png,pažiūrėti už sienos / atrasti,
file_0000000002e08230b88050ea807feb6d.png,išrikiuoti / sulygiuoti,
file_00000000047082119dea4783f54683d5.png,sudėlioti / organizuoti,
file_0000000004b481f4b7e88b85ae2db32d.png,paleisti šakojančią reakciją,
file_000000000d2082438246d1f4227e5ef6.png,meistriškai formuoti,
file_000000000db881f4ae8d011930c0e30a.png,apsaugoti / uždaryti į korpusą,
file_00000000101481f48972b4f70a1ee90c.png,pasinaudoti paruoštu maistu,
file_0000000010ec820da325a18b91ef6420.png,sujungti dvi dalis,
file_00000000165881f4b5a872f68db713ac.png,sujungti dvi dalis,
file_000000001ff481f48b8d0a88fe32f81a.png,nežinoti / ieškoti atsakymo,
file_0000000024fc8210a5fb3823b3d86a9f.png,pradėti kurti iš paruoštų medžiagų,
file_000000002b888210a50e78e2920e9b10.png,eiti pro duris į naują erdvę,
file_0000000038f8820a8db98e0c8aaa3602.png,atvira / aiškiai matoma erdvė,
file_000000003c0c81fb80655b530662c0ee.png,suskirstyti / organizuoti į zonas,
file_000000004f9082108fe472a4feabc7dc.png,įeiti į augimo erdvę,
file_0000000053a882469e5208c1a18df5d1.png,tiksliai išmatuoti,
file_00000000567881f48fd629382e368431.png,pasinaudoti paruoštu maistu,
file_0000000056fc81f4a3501e844cbcc934.png,sudėlioti / surūšiuoti į vietas,
file_000000005b3082438d63166fd778fe5a.png,būti kartu / palaikyti atstumą,
file_000000005b388246a071c27a8c54b94f.png,rami atvira erdvė / aiškumas,
file_000000005b5482109a9b467b35530e96.png,pradėti statyti / kurti,
file_000000005de482439d67d0a9a57c0072.png,pamatyti objektą aiškiau,
file_000000005df08246ae1b9a0da46465ba.png,nukreipti / valdyti srautą,
file_0000000064308246af3fd5a5884c9e8c.png,paskirstyti vandenį platesnei sistemai,
file_00000000673881f4bc390c5618110a68.png,nuskinti / pasinaudoti prinokusiu derliumi,
file_00000000675c824386b393d66de4b2f4.png,augti / progresuoti,
file_000000006b148210abe3c22f8ce50764.png,įjungti / pakeisti visos patalpos būseną,
file_000000006bc881f482e783fee25d78e6.png,apsaugoti ir kartu matyti mechanizmą,
file_000000006df481f4bac8dcc6caed9633.png,tiksliai išmatuoti,
file_0000000071448246a5f5395f6a286783.png,įeiti į augimo erdvę,
file_000000008ca882468c596d42a3e3ffce.png,įeiti į patrauklią augimo erdvę,
file_0000000092148210be3631f7c20ec0da.png,reguliuoti nustatymus,
file_000000009244821095cdb1e7c946f6b1.png,orientuotis / rasti kryptį,
file_0000000096208246844a18b49dd47385.png,pažiūrėti už sienos / atrasti,
file_00000000ac6c822fbeb78222c29b386c.png,išrikiuoti / išlaikyti tarpą,
file_00000000c40481fdacd2cca1de683563.png,išrikiuoti / tęstinumas,
file_00000000c7f0821081be7676884bb00f.png,pradėti kurti nuo tuščios drobės,
file_00000000cc8c81f4a927534c8316290c.png,rinktis kryptį neaiškume,
file_00000000d1d481f4bde2fe963dcc9381.png,išrikiuoti / sugrupuoti,
file_00000000d350820ab7fba07caf338d91.png,sudėlioti / surūšiuoti,
file_00000000f1d08243a3390b5494278b92.png,meistriškai formuoti,
file_00000000fb088246a218b6e0c6f2e60e.png,užbaigti dėlionę,
file_00000000fdf0821099271633f3930bad.png,tvarkyti / laikyti dokumentus,
image (1).png,susitikti / bendrauti įtemptoje aplinkoje,
image.png,atsitraukti ir žiūrėti į išorę,DUP-20260730_021307919.png
